koi_disposition,koi_period,koi_depth,koi_duration,koi_ror,koi_model_snr
CANDIDATE,53.71798494,3153.5,4.104,0.066227,103.0
CANDIDATE,105.8817667,1556.3,18.044,0.037215,301.8
CANDIDATE,4.57797412,125.4,2.862,0.010324,9.6
CANDIDATE,3.01609637,196.3,1.57,0.013746,8.1
CANDIDATE,21.9424316,72.7,7.447,0.007921,10.7
CANDIDATE,330.025002,259.2,6.659,0.015636,12.2
CANDIDATE,9.391039263,2895.6,2.8386,0.071734,141.0
CANDIDATE,77.4794704,1237.0,10.1151,0.032509,72.6
CANDIDATE,11.1438086,41.7,7.905,0.006202,10.9
CANDIDATE,32.526674,204.9,6.842,0.013319,9.7
CANDIDATE,10.32906563,2309.8,1.44,0.053874,114.8
CANDIDATE,166.7876551,4764.2,5.8676,0.062452,183.8
CANDIDATE,49.537365,201.7,9.862,0.013263,10.1
CANDIDATE,24.0721647,177.3,3.171,0.016375,6.7
CANDIDATE,19.193103549,6807.3,2.5425,0.125536,258.5
CANDIDATE,80.881757,142.7,12.568,0.011018,12.2
CANDIDATE,9.250572762,1039.5,3.6373,0.267107,351.4
CANDIDATE,7.189379172,8126.4,2.0351,0.10163,288.5
CANDIDATE,1.8134378,97.4,7.776,0.009047,19.1
CANDIDATE,562.1725914,5877.8,9.8841,0.077456,208.4
CANDIDATE,278.1243979,2297.8,3.978,0.051146,58.5
CANDIDATE,4.034914368,800.1,1.7874,0.035486,92.6
CANDIDATE,52.513548727,14252.0,3.2743,0.116129,825.0
CANDIDATE,4.17838675,316.0,2.123,0.016989,15.1
CANDIDATE,16.2982201,199.0,2.558,0.013741,7.9
CANDIDATE,2190.7010353,1874.2,19.891,0.038811,94.8
CANDIDATE,3.29534567,141.9,1.902,0.011781,10.4
CANDIDATE,6.0799457,55.1,2.706,0.00678,7.3
CANDIDATE,70.2780911,781.6,2.466,0.025584,14.9
CANDIDATE,9.9664004,1619.0,5.0127,0.050235,125.9
CANDIDATE,14.85185526,1341.0,3.5263,0.038325,58.3
CANDIDATE,56.391062,2042.0,5.7,0.052224,11.4
CANDIDATE,22.34213536,2264.4,6.461,0.067166,51.9
CANDIDATE,10.47490332,1170.2,33.7939,0.04377,150.5
CANDIDATE,61.858947,70.8,21.32,0.008029,9.1
CANDIDATE,3.07365139,90.5,2.102,0.008751,9.6
CANDIDATE,275.07365,228.9,3.37,0.014379,7.5
CANDIDATE,4.50158249,175.7,1.855,0.012009,9.7
CANDIDATE,5.06546874,121.1,2.203,0.010226,10.4
CANDIDATE,5.89399142,10993.0,1.2737,0.114425,252.5
CANDIDATE,7.6720844,75.1,3.451,0.008203,8.4
CANDIDATE,3.251659087,4747.9,1.5286,0.082842,466.2
CANDIDATE,66.47762,553.5,4.487,0.021656,9.1
CANDIDATE,26.89316101,2193.2,2.3266,0.068343,119.6
CANDIDATE,0.702739679,65.1,1.379,0.008044,9.5
CANDIDATE,17.761998411,24177.0,2.4644,0.195094,731.7
CANDIDATE,155.042265,4880.9,9.848,0.072873,117.9
CANDIDATE,25.0032023,64.1,5.498,0.007962,12.6
CANDIDATE,80.84069,9326.0,8.567,0.08665,21.6
CANDIDATE,60.458443,175.2,8.43,0.012311,9.7
CANDIDATE,8.0292018,65.6,3.462,0.007627,11.7
CANDIDATE,2.41750021,58.2,4.33,0.008341,15.2
CANDIDATE,4.03357434,66.2,5.886,0.008579,15.5
CANDIDATE,7.66462913,114.1,3.614,0.009699,13.2
CANDIDATE,0.487656278,109.8,1.0129,0.009643,25.1
CANDIDATE,3.25424652,82.1,5.378,0.008748,18.3
