koi_disposition,koi_period,koi_depth,koi_duration,koi_ror,koi_model_snr
CONFIRMED,6.66833241,362.3,1.915,0.018246,14.2
CONFIRMED,4.082274889,17859.0,3.23015,0.121652,1669.1
CONFIRMED,42.1406089,895.5,5.083,0.026274,21.6
CONFIRMED,4.617490562,575.8,2.2618,0.023024,28.1
CONFIRMED,10.19849255,634.1,2.4283,0.024778,21.4
FALSE POSITIVE,5.795063956,1692.9,3.2496,0.047975,119.4
CONFIRMED,7.15681552,867.0,2.5882,0.026979,47.7
CONFIRMED,17.64830851,763.3,2.0873,0.026581,23.8
CONFIRMED,4.14810719,175.2,2.535,0.011755,12.9
CONFIRMED,16.51410989,973.5,4.1575,0.028718,55.9
CONFIRMED,30.1329298,1015.8,5.172,0.03322,44.8
CONFIRMED,4.79090809,251.3,2.603,0.014349,21.2
CONFIRMED,31.71981013,363.4,4.819,0.017414,63.1
CONFIRMED,99.6415962,952.5,4.448,0.027879,22.7
CONFIRMED,4.708326451,7912.7,3.16114,0.080242,633.4
FALSE POSITIVE,16.37198661,4147.6,3.8449,8.358793,54.5
CONFIRMED,5.392026903,1151.4,2.9804,0.030649,77.4
CONFIRMED,6.491682808,7163.3,4.301,0.079893,502.3
FALSE POSITIVE,3.044770796,1695.0,10.0134,0.298444,203.5
CONFIRMED,3.855603916,16653.0,3.2179,0.119176,1173.9
FALSE POSITIVE,3.855599139,1030.9,3.183,0.033907,90.1
CONFIRMED,38.47876629,23530.0,5.04169,0.138123,1077.8
FALSE POSITIVE,37.601661282,59130.0,8.30604,0.227443,1667.3
CONFIRMED,3.314947362,1398.2,1.8007,0.038195,123.5
FALSE POSITIVE,6.71969089,969.7,3.0231,0.046245,45.4
CONFIRMED,39.6431552,15664.0,6.5292,0.111685,690.3
FALSE POSITIVE,51.42598578,66068.0,16.9422,0.236829,1843.8
CONFIRMED,21.80451611,1144.9,3.4097,0.033653,49.9
CONFIRMED,10.28194593,1110.7,3.4366,0.029849,55.0
CONFIRMED,18.11993039,1506.9,4.2309,0.034825,60.7
CONFIRMED,3.78402867,426.1,1.9012,0.020134,25.6
CONFIRMED,5.15448142,697.5,3.228,0.030415,48.1
FALSE POSITIVE,33.80364366,13494.0,11.4813,0.105539,529.9
CONFIRMED,5.743469797,1240.2,3.4412,0.032147,79.7
FALSE POSITIVE,19.974485239,40293.0,4.23479,0.243941,1398.8
CONFIRMED,3.166353562,1473.4,3.3129,0.035047,128.3
FALSE POSITIVE,23.899634407,20953.0,3.81881,0.436512,547.8
CONFIRMED,3.388012244,280.1,2.6849,0.015454,30.6
CONFIRMED,5.83909761,273.6,3.1915,0.015116,25.2
CONFIRMED,1.620467654,159.6,2.1888,0.011493,22.7
CONFIRMED,10.6816951,307.8,3.605,0.016847,21.9
CONFIRMED,6.104849417,2090.3,4.6912,0.04092,293.7
CONFIRMED,3.578780566,11382.0,2.91089,0.096067,1838.4
FALSE POSITIVE,3.187067566,1037.4,3.119,0.269659,37.2
CONFIRMED,5.826657508,1539.1,2.9183,0.035356,81.1
CONFIRMED,12.41216347,611.3,3.739,0.02227,25.6
CONFIRMED,18.74649011,796.8,3.895,0.026327,26.7
CONFIRMED,20.86021229,1910.5,5.1937,0.040067,117.0
CONFIRMED,42.63427848,1719.3,6.1998,0.038058,78.7
CONFIRMED,87.6476068,1009.6,8.871,0.029163,37.5
CONFIRMED,9.467821474,2237.0,2.4327,0.042684,124.7
CONFIRMED,0.893040969,741.7,1.0981,0.024717,87.8
CONFIRMED,4.942783419,11145.0,3.25346,0.099444,2040.7
CONFIRMED,20.83426731,988.4,4.0454,0.028495,45.1
CONFIRMED,9.94602357,994.5,3.3862,0.028229,51.0
CONFIRMED,1.04562195,213.0,1.8955,0.013092,25.3
CONFIRMED,5.71462396,297.8,2.336,0.016046,16.7
FALSE POSITIVE,102.9641952,1896.7,15.735,0.050162,86.1
CONFIRMED,8.14515981,446.8,5.073,0.025296,32.2
CONFIRMED,18.9985279,430.7,4.529,0.318792,16.9
CONFIRMED,4.24439049,174.0,3.282,0.015253,15.1
CONFIRMED,28.5742692,824.9,4.9427,0.026109,97.1
CONFIRMED,7.34373964,574.4,1.1784,0.022075,32.2
FALSE POSITIVE,0.445277068,186.7,3.539,0.307625,28.9
FALSE POSITIVE,0.379463865,1973.3,0.86896,0.305894,458.6
FALSE POSITIVE,9.88047978,18541.0,2.78458,0.235723,534.5
FALSE POSITIVE,4.6484156,128.4,38.1939,0.013299,91.7
FALSE POSITIVE,17.512014768,4511.7,1.8248,0.110483,322.3
FALSE POSITIVE,0.525154153,747.5,2.1441,0.255581,116.1
FALSE POSITIVE,1.303861044,598.2,4.0541,0.282709,140.6
FALSE POSITIVE,0.73452496,23791.335898271922,6.7,0.28364628616454735,259.8950005434192
FALSE POSITIVE,2.55549176,113.8,9.083,0.237273,24.3
FALSE POSITIVE,2.947376671,433.2,2.0911,1.654364,62.3
CONFIRMED,224.7789355,3487.5,11.1899,0.056891,235.7
FALSE POSITIVE,0.890110752,321.5,0.8774,0.016162,19.6
FALSE POSITIVE,5.76573396,248.0,2.924,0.015428,22.2
CONFIRMED,7.42608123,443.3,3.6379,0.019228,37.5
CONFIRMED,15.9868932,178.5,4.158,0.012587,10.9
FALSE POSITIVE,0.73094589,250.2,4.32,0.184858,37.5
CONFIRMED,18.92537246,640.9,3.9835,0.026104,41.0
FALSE POSITIVE,0.933749106,186.2,4.256,0.013481,136.3
FALSE POSITIVE,2.037440623,118.6,3.442,0.010693,27.0
CONFIRMED,31.5925809,145.1,13.566,0.010989,25.5
CONFIRMED,17.157236,110.4,11.284,0.009558,23.6
CONFIRMED,1.97376085,30222.0,1.82542,0.159864,1252.5
FALSE POSITIVE,4.618767792,4399.1,5.9957,0.066285,270.1
CONFIRMED,2.785821236,68.9,3.5599,0.008919,53.6
FALSE POSITIVE,52.56901867,26900.0,6.7507,0.418905,184.3
FALSE POSITIVE,3.411758679,570.6,3.158,0.240197,35.6
FALSE POSITIVE,0.525426427,324.6,1.0801,0.016596,63.6
CONFIRMED,1.269091415,340.9,1.4647,0.016909,73.5
CONFIRMED,2.853133997,277.1,1.465,0.016317,39.7
CONFIRMED,6.79685353,393.1,3.1702,0.019,29.8
FALSE POSITIVE,8.667822346,2121.9,4.9658,0.326603,187.6
CONFIRMED,1.475323222,154.9,2.3155,0.011027,27.2
CONFIRMED,4.15246118,223.4,2.5755,0.01428,24.5
FALSE POSITIVE,6.7210783,23791.335898271922,7.46,0.28364628616454735,259.8950005434192
CONFIRMED,8.7348852,270.7,4.49,0.015161,24.8
FALSE POSITIVE,10.26547688,399.6,3.733,0.019462,20.1
FALSE POSITIVE,3.305577989,17971.0,2.5903,0.335281,39.6
FALSE POSITIVE,4.800653901,15304.0,9.0419,0.124793,298.0
FALSE POSITIVE,15.06649901,36348.0,5.9885,0.317877,154.6
FALSE POSITIVE,34.82008158,18848.0,11.1711,0.132704,882.6
FALSE POSITIVE,0.651784374,2779.3,2.0141,0.290399,195.2
FALSE POSITIVE,1.353771892,1349.1,7.012,0.250431,76.7
FALSE POSITIVE,18.95491633,867.5,24.249,0.258011,249.3
FALSE POSITIVE,4.348866254,625.6,3.2797,0.219949,56.3
FALSE POSITIVE,47.93094546,2144.4,2.6897,0.321419,221.1
FALSE POSITIVE,3.99751422,32.8,3.686,0.005126,6.1
FALSE POSITIVE,1.592633181,633.1,5.5605,0.022007,66.9
CONFIRMED,67.5923754,4158.1,12.249,0.063536,60.9
CONFIRMED,17.02902786,568.9,4.645,0.021839,29.8
CONFIRMED,6.84619236,246.8,3.529,0.014341,17.7
CONFIRMED,67.8321638,507.8,7.358,0.02055,15.5
CONFIRMED,43.1312147,447.8,3.198,0.020505,11.8
CONFIRMED,1.224866441,196.0,1.7086,0.012766,21.1
CONFIRMED,37.8102649,570.3,8.733,0.021892,35.2
CONFIRMED,25.93406406,414.5,4.6142,0.018556,42.2
CONFIRMED,83.4463485,503.0,6.536,0.020442,36.1
FALSE POSITIVE,7.04710032,400.9,2.926,0.216054,24.0
CONFIRMED,12.99204853,270.6,6.0175,0.014939,38.7
FALSE POSITIVE,11.11620211,4843.9,4.211,0.082423,115.3
FALSE POSITIVE,1.922861499,1916.2,3.5734,0.051164,103.4
FALSE POSITIVE,0.635445336,2547.4,1.8592,0.316337,182.2
FALSE POSITIVE,1.665784138,2006.2,1.8946,0.319369,148.0
FALSE POSITIVE,55.6639167,3414.4,23.546,0.366484,103.4
CONFIRMED,52.09081627,2894.1,8.6388,0.049363,243.5
FALSE POSITIVE,7.1548608,780.4,7.694,0.039041,24.2
CONFIRMED,4.28746668,790.1,1.5693,0.025717,19.4
FALSE POSITIVE,2.002779769,260.5,2.231,0.014608,22.2
CONFIRMED,8.18739443,517.6,3.0472,0.020743,38.4
